"company_name","job_postings_count"
"G-STAT","95"
"Gotfriends","78"
"monday.com","56"
"LSports","48"
"Varonis","43"
"Apple","38"
"ironSource","37"
"AppsFlyer","32"
"VAST Data","31"
"Mploy ×“×¨×•×©×™×","31"
"Wix","28"
"Mobileye","25"
"Meta","24"
"Western Digital","24"
"Solaredge","22"
"Playtika","21"
"Intuit","21"
"Datacube","19"
"HiredScore","18"
"Similarweb","17"
"comblack","16"
"Ethosia","16"
"At-Bay","16"
"Fiverr","14"
"ZipRecruiter","14"
"Taboola","13"
"Firebolt","13"
"Lightricks","13"
"Recruitx","13"
"Microsoft","13"
"Intel","13"
"Experis","13"
"Payoneer","12"
"Lusha","12"
"Peroptyx","12"
"Unity","12"
"Coralogix","11"
"Shabak - Israeli Security Agency - Career","11"
"Rise","11"
"eToro","11"
"Riskified","11"
"Skai","11"
"Explorium","11"
"Moon Active","11"
"SQLink Group","11"
"Amazon","11"
"Papaya Global","10"
"Kendago","10"
"Hello Heart","10"
"Confidential","10"
"Bright Data","10"
"BioCatch","10"
"Fireblocks","10"
"Darrow","10"
"Cato Networks","10"
"Placer.ai","9"
"Bynet Data Communications","9"
"DriveNets","9"
"UVeye","9"
"theGist","9"
"Intelos Ltd.","9"
"NAYA Technologies (part of EPAM Systems, Inc.)","9"
"Melio","9"
"PayPal","9"
"Natural Intelligence","8"
"JFrog","8"
"SimilarWeb","8"
"Beach Bum","8"
"SciPlay","8"
"Phoenix Holdings  ×§×‘×•×¦×ª ×”×¤× ×™×§×¡","8"
"Elad Software Systems","8"
"NielsenIQ","8"
"Applied Materials","8"
"CyberArk","8"
"Dialog","8"
"Sisense","8"
"Persona.ly","8"
"Papaya Gaming","8"
"Bezeq International","8"
"Fetcherr","8"
"FundGuard","7"
"Optimove","7"
"Personetics","7"
"GE Healthcare","7"
"Silverfort","7"
"Shavit Software","7"
"SentinelOne","7"
"Flare","7"
"ActiveFence","7"
"Jobinfo","7"
"JPMorgan Chase & Co.","7"
"BigID","7"
"dentsu Israel","7"
"nSure.ai","7"
"Via","7"
"Amdocs","7"
"MongoDB","7"
"Webiks","7"
"Gtech","7"
"Yotpo","7"
"OSR Enterprises AG","7"
"Wiliot","6"
"Moonsite - Moonsoft Development Ltd.","6"
"Netafim","6"
"FireArc Technologies .LTD","6"
"Nuvei","6"
"NVIDIA","6"
"Octopol","6"
"ODDITY","6"
"Playstudios International Israel","6"
"Rapyd","6"
"Sentra","6"
"ICE","6"
"Aqurate Data","6"
"Software","6"
"STARTICA LTD","6"
"888holdings","6"
"InspHire","6"
"Intel Corporation","6"
"JVP","6"
"Deloitte","6"
"TripActions","6"
"Arpeely","6"
"Lemonade","6"
"Log-On Software","6"
"Drushim IL  ( IL ×“×¨×•×©×™×)","6"
"DRW","6"
"×¨×¤××œ ××¢×¨×›×•×ª ×œ×—×™××” ××ª×§×“××•×ª - ×§×¨×™×™×¨×”","6"
"Qualitest","5"
"Ionix","5"
"Starburst","5"
"NetApp","5"
"Innoviz Technologies","5"
"DoubleVerify","5"
"Cognyte","5"
"Imagen","5"
"SodaStream","5"
"MIcompany","5"
"Veeva Systems","5"
"Pagaya","5"
"Nvidia","5"
"Imperva","5"
"Unilink Ltd.","5"
"Appdome","5"
"Cross River","5"
"Storemaven","5"
"Proceed","5"
"GE HealthCare","5"
"PAPAYA","5"
"Nogamy × ×•×’××™","5"
"Resident","5"
"Guesty","5"
"BeeHero","5"
"Tipalti","5"
"Claroty","5"
"Google","5"
"Fairmatic","5"
"Gett","5"
"Horizon Technologies LTD.","5"
"ONE ZERO Digital Bank","5"
"Windward","5"
"Check Point Software Technologies Ltd","5"
"abra","5"
"Ness Technologies | × ×¡ ×˜×›× ×•×œ×•×’×™×•×ª","5"
"Autodesk","5"
"IBM","5"
"Elementor","5"
"DataTeam","5"
"CommIT","4"
"Overwolf","4"
"Rewire","4"
"Analytical Factor","4"
"General Motors","4"
"8fig","4"
"The Talent Hunter ,(HR&Talent acquisition services)","4"
"Nym Health","4"
"Bright Machines","4"
"Cellebrite","4"
"Plarium","4"
"TELUS International","4"
"Salt Security","4"
"Clalit Innovation","4"
"Microchip","4"
"Aqua Security","4"
"NICE","4"
"Brex","4"
"Fido","4"
"Nelson System Integration","4"
"Plus500","4"
"Megayeset - Recruiting, Head Hunting and HR Consulting ××’×™×™×¡×ª - ×”×©××” ×•××©××‘×™ ×× ×•×©","4"
"Stratasys","4"
"AT&T Israel R&D Center","4"
"Next Insurance","4"
"Align Technology","4"
"Data & Analytics","4"
"Hailo","4"
"INGIMA ISRAEL","4"
"Cyera","4"
"Bluevine","4"
"Autobrains Technologies","4"
"Wolt","4"
"Imagene AI","4"
"Millennium","4"
"Proofpoint","4"
"Madeira Data Solutions","4"
"Forter","4"
"Experis Israel","4"
"Eternity IT","4"
"Company","4"
"Dragontail Systems","4"
"LIQUiDITY Group","4"
"Vi","4"
"Artlist","4"
"accessiBe","4"
"Discount Bank ×‘× ×§ ×“×™×¡×§×•× ×˜","4"
"AI21","4"
"Undisclosed","4"
"BILeader","4"
"Triple Whale","4"
"Global-e","3"
"PassportCard Labs","3"
"OpenWeb","3"
"GMCR Canada","3"
"Payoneer Inc","3"
"ONE ZERO BANK","3"
"Gong.io","3"
"Perion Network","3"
"GotFriends","3"
"Grip Security","3"
"Nucleai","3"
"ControlUp","3"
"Harel Insurance & Finance","3"
"Abbott","3"
"Harvard Pilgrim HealthCare","3"
"Healthy.io","3"
"Novocure","3"
"Razel Group","3"
"Remitly Israel (formerly Rewire)","3"
"retrain.ai","3"
"Revrod","3"
"No Company Name 1","3"
"Riverside.fm","3"
"Hotelmize","3"
"Roundforest","3"
"ryze","3"
"Saban Digital Marketing","3"
"SafeUP - Women's Safety Net","3"
"Humanity","3"
"SciPlay Israel","3"
"Bioz","3"
"Sensi.ai","3"
"BIScience","3"
"Chaos Labs","3"
"Aquant","3"
"NeuroBlade","3"
"FireArc","3"
"Finonex","3"
"Finaro (formerly Credorax)","3"
"CloudSploit by Aqua Security","3"
"SNC","3"
"AMDOCS LTD","3"
"SolarEdge Technologies","3"
"Incredibuild","3"
"D.A. Team","3"
"CloudBuzz","3"
"Start.io","3"
"Bosch Group","3"
"Intango","3"
"SupPlant","3"
"EverC","3"
"Intelligent Business","3"
"Tailor Brands","3"
"Tango","3"
"Datadog","3"
"Team8","3"
"Datagen","3"
"TechnoSTAT Clinical Services","3"
"Tel Aviv Medical Center","3"
"TELUS International AI Data Solutions","3"
"×§×‘×•×¦×ª × ×™×©×”","3"
"Broadway Gaming","3"
"kasko2go","3"
"Developers.Institute","3"
"Fabric","3"
"Transmit Security","3"
"Armis","3"
"Dig Security","3"
"TSG IT Advanced Systems Ltd.","3"
"Digital Turbine","3"
"Konnecto","3"
"UBS","3"
"F5","3"
"Urban Recruits","3"
"MSD Animal Health Intelligence Technology Labs","3"
"BTC  searching","3"
"Avalor","3"
"LivePerson","3"
"Vonage","3"
"CHEQ","3"
"Mertens Hoffman - Malam Team","3"
"Webbing","3"
"Autofleet","3"
"Aman Group","3"
"Wenrix","3"
"MAD Growth","3"
"Eitan Medical","3"
"Worthy.com","3"
"Maof","3"
"yad2","3"
"Maof HR","3"
"Markets.com","3"
"Atera","3"
"Amazon Web Services (AWS)","3"
"×—×‘×¨×” ×‘×ª×—×•× ×”×™×™×˜×§ / ×—×•××¨×” / ×ª×•×›× ×” / ×¡×™×™×‘×¨","3"
"Genetika+","3"
"OwnBackup","3"
"GhidiniRodil","3"
"Paragon","3"
"Investing.com","2"
"Scality","2"
"TCM Technologies LTD","2"
"TEAM3 Group","2"
"OncoHost","2"
"yes","2"
"Freightos","2"
"Dataloop AI","2"
"Feedvisor","2"
"HR Signal","2"
"Bank Hapoalim ×‘× ×§ ×”×¤×•×¢×œ×™×","2"
"Amazon Web Services","2"
"Deci AI","2"
"TELUS","2"
"SailPoint","2"
"Israel Tech Guard","2"
"Marketily","2"
"TELUS International AI Inc.","2"
"IVIX","2"
"Nano Dimension","2"
"Namogoo","2"
"DeepInstinct","2"
"Join - Digital Talent Agency","2"
"CrowdStrike","2"
"Teva Pharmaceuticals","2"
"Anaplan","2"
"Agmatix","2"
"ynet","2"
"The Lancet","2"
"Rivery","2"
"K Health","2"
"no name","2"
"Equalum","2"
"Broadcom Inc.","2"
"Kahoona","2"
"Ribbon Communications","2"
"ThinkUser","2"
"DeRisk Technologies","2"
"AUIâ„¢ (Augmented Intelligence)","2"
"Karamba Security","2"
"Revuze","2"
"Apomedical (IL) Ltd","2"
"Kayhut","2"
"YouCC Technologies Ltd.","2"
"Tony Blair Institute for Global Change","2"
"Torii","2"
"Totango","2"
"Kemtai","2"
"Toyota Israel -×˜×•×™×•×˜×” ×™×©×¨××œ","2"
"Panorama Software","2"
"Masterschool","2"
"Keshet Media Group","2"
"Diagnostic Robotics","2"
"Equinom Ltd","2"
"Remitly IL","2"
"Muza-Hr","2"
"Playstudios","2"
"EX.CO","2"
"Kissterra","2"
"Trustmi Network Ltd.","2"
"Matrix","2"
"KMS Lighthouse","2"
"Zscaler","2"
"××•×¤×˜×™××•×","2"
"TytoCare","2"
"MATRIX","2"
"Korentec Technologies","2"
"Kornit Digital","2"
"Understanding Recruitment","2"
"REE","2"
"RecrutiX","2"
"Flow Security","2"
"KPMG","2"
"Discount Bank","2"
"Eleos Health","2"
"Criteo","2"
"One Systems","2"
"Discreet","2"
"Microsoft Corporation","2"
"Planck","2"
"Vanti","2"
"MSD","2"
"Real Time Group - Software Solutions","2"
"Buildots","2"
"×¨×™×§×¨×•×˜×™×§×¡ ×‘×¢""×","2"
"Rayzone Group","2"
"Credito","2"
"×˜×œ××•×œ","2"
"LEVL","2"
"Rafael Advanced Defense Systems","2"
"Employ Africa Group","2"
"Levl Sub Israel Ltd.","2"
"morning","2"
"Lili","2"
"Business Intelligence Firm","2"
"CrazyLabs","2"
"Align","2"
"Questar Auto Technologies","2"
"Colleen AI","2"
"aMoon Fund","2"
"ERO Group Engineering, Ventures and Projects LTD","2"
"Logica-IT","2"
"AI21 Labs","2"
"Maytronics","2"
"Optibus","2"
"Voyantis","2"
"VSHRmng","2"
"Hexa","2"
"Walmart Aspectiva","2"
"OrCam","2"
"Hewlett Packard","2"
"GreenVibe Technologies LTD","2"
"OSR Enterprises","2"
"LWF group","2"
"Asensus Surgical","2"
"Now You Know","2"
"Weka","2"
"Orca Security","2"
"Ecoplant","2"
"Perion Network Ltd.","2"
"Mize","2"
"Ocean Media IL","2"
"NSO Group","2"
"Bigabid","2"
"Public Key","2"
"MAÃ‹LYS","2"
"CYREN","2"
"Wise Consulting","2"
"BlueVine","2"
"FinTop Consulting","2"
"SMART VALOR","2"
"Mindspace","2"
"SignalPETÂ®","2"
"Cadence Design Systems, Inc.","2"
"Bookaway","2"
"×œ×•×’×™×§×” IT","2"
"proman","2"
"Haleon","2"
"D-ID","2"
"INFINIDAT","2"
"MalamTeam","2"
"SpoTower","2"
"SQLink","2"
"Workiz","2"
"DarioHealth","2"
"Staircase AI","2"
"Siemens","2"
"INGIMA","2"
"Start-up","2"
"Start-Up Nation Central","2"
"Workiz Inc.","2"
"Envolve Pharmacy Solutions","2"
"Shopkick by Trax","2"
"IEC - Israel Electric Corporation ×—×‘×¨×ª ×”×—×©××œ ×œ×™×©×¨××œ ×‘×¢""×","2"
"IDF 2 TECH","2"
"Sharpies","2"
"Apester","2"
"Innovid","2"
"Identiq","2"
"Medison Pharma","2"
"stratasys","2"
"ServiceNow","2"
"Insait IO","2"
"Stratasys Ltd","2"
"Medtronic","2"
"insoundz","2"
"SuperPlay","2"
"4M Analytics","2"
"Passportcard","2"
"WSC Sports","2"
"SeeTrue AI","2"
"Privitar","2"
"Data Tapas","2"
"Hyro","2"
"Syte","2"
"Migdal Group","2"
"Tabnine","2"
"Navan","2"
"Comet","2"
"NaturalMotion / Zynga","2"
"Tal Head Hunting","2"
"Barak Capital","2"
"Yael Group","2"
"HyperGuest","2"
"NIQ Activate","2"
"Tastewise","2"
"WeFlex","1"
"Weizmann Institute of Science","1"
"Weka.IO","1"
"Welcome to the Jungle","1"
"WHO - World Health Organization","1"
"WINT - Water Intelligence","1"
"Wipro","1"
"Wix, Inc","1"
"Wiz","1"
"Work At Home Vintage Experts","1"
"World Health Organization","1"
"X-trodes ltd","1"
"XJet Ltd.","1"
"Xyte","1"
"Yandex","1"
"YesChef","1"
"YGC","1"
"YL Ventures","1"
"YouAppi","1"
"zap group","1"
"ZEISS Group","1"
"Zencity","1"
"Zorro","1"
"××œ×‘×™×˜ ××¢×¨×›×•×ª","1"
"×× ×˜×¨×™×¤×•×™× ×˜","1"
"××¨.×•×™×™.×‘×™. ×¤×œ×¡×× ×˜ ××’× ×¡×™ ×‘×¢""×","1"
"×’'×™. ××¨. ×˜×™ - ×¤×ª×¨×•× ×•×ª ×‘×¢""×","1"
"×“×˜×” ×§×™×•×‘ ×‘×¢''×","1"
"×“×™××œ×•×’","1"
"×”×¨××œ ×‘×™×˜×•×— ×•×¤×™× × ×¡×™×","1"
"×—×‘×¨×” ×‘×ª×—×•× ××™× ×˜×¨× ×˜ ×•×“×™×’×™×˜×œ","1"
"×—×‘×¨×ª ×××™×” ×œ×’×™×•×¡ ×•×”×©××”","1"
"×˜×œ×“×•×¨","1"
"×˜×œ×“×•×¨ Taldor ××¢×¨×›×•×ª ××—×©×‘×™×","1"
"××¨×˜× ×¡ ×”×•×¤××Ÿ ×—×©×›×œ ××§×‘×•×¦×ª Malam Team","1"
"×¡×™××œ ×’×™×•×¡ ×•×”×©××”","1"
"×¢×™×“×•×¨ ××—×©×‘×™× ×‘×¢""×","1"
"×¤×™×§××¨×•- ×’×™×•×¡ ×•×”×©××” ×œ×”×™×™×˜×§","1"
"×¤×¨×•×œ×•×’'×™×§","1"
"×§×¨×•×œ ×™×•×¢×¦×™×","1"
"×¨×™×‘×™ ×’×™×•×¡ ×•×”×©××”","1"
"×©×‘×™×˜ ×¡×•×¤×˜×•×•×¨","1"
"×©×¨×•×Ÿ ×’×¨×™× ×‘×¨×’","1"
"×ª×•×¦××•×ª - ×™×™×¢×•×¥ ×•×”×©××”","1"
"(Direct Insurance) ×‘×™×˜×•×— ×™×©×™×¨","1"
"Ø¨Ø±Ù†Ø§Ù…Ø¬ Ø§Ù„Ø£Ù…Ù… Ø§Ù„Ù…ØªØ­Ø¯Ø© Ø§Ù„Ø¥Ù†Ù…Ø§Ø¦ÙŠ UNDP/PAPP","1"
"22/7","1"
"365scores","1"
"4M Analytics Ltd","1"
"6B Studio - 6B ×¡×˜×•×“×™×•","1"
"888 Holdings","1"
"888HOLDINGS","1"
"Abbott Laboratories","1"
"ADAMA","1"
"ADASKY","1"
"Agam Data Analytics LTD","1"
"Agilent","1"
"Aish Global","1"
"AKA FOOD","1"
"Akamai","1"
"Akamai Technologies","1"
"AlfaBet","1"
"Algorithms","1"
"ALLSTARSIT","1"
"Alstom","1"
"Altair Engineering","1"
"Alterya","1"
"AMBITION  HASAMA","1"
"Amplio","1"
"Anzu.io","1"
"APERIO","1"
"Appen","1"
"Apple Inc.","1"
"AppLovin","1"
"Arad Tech Software","1"
"Arad Technologies","1"
"ArborKnot Ltd.","1"
"Armis Security","1"
"Ascensus","1"
"Aspire Global","1"
"AT&T Israel","1"
"Atalef.ai","1"
"Atidot","1"
"Atlas Invest","1"
"AU10TIX","1"
"Augury","1"
"AutoLeadStar","1"
"Avalor Security","1"
"Avenue Code","1"
"Axonius","1"
"azimut G.B.S","1"
"Balance","1"
"Barak Group","1"
"BDM","1"
"Be Science Consulting","1"
"BeamUP","1"
"Better Impression","1"
"BICI Solutions","1"
"BigData Boutique","1"
"BIGVU","1"
"BinaBo","1"
"Biosense Webster","1"
"BIyond - BI, Big Data and Analytics","1"
"Bizzabo","1"
"Booking.com","1"
"Bounce","1"
"Bringoz","1"
"Browsi","1"
"BTB - Be The Bank,","1"
"Bulbaponi","1"
"Business Intelligence","1"
"BUYME","1"
"BUYME ğŸ","1"
"C2i Genomics","1"
"Cal","1"
"Cal (Israel Credit Cards)","1"
"Cambium Applicable Innovation","1"
"Candivore","1"
"Capitolis","1"
"Carbon World LTD","1"
"CEVA, Inc.","1"
"Chain Reaction","1"
"ChaosTheoryFunds","1"
"ChargeAfter","1"
"Check Point","1"
"Checkmarx","1"
"Checkout.com","1"
"Cisco","1"
"Cisco Systems","1"
"Citi","1"
"Citigroup","1"
"ciVALUE","1"
"Clinch","1"
"CloudZone","1"
"CodeValue","1"
"CommBox","1"
"Communix","1"
"Compie Technologies","1"
"Compulocks","1"
"Connecteam","1"
"Consist","1"
"Consult2All","1"
"Contentsquare","1"
"CONTROP Precision Technologies Ltd.","1"
"Convertologic","1"
"Copilot.cx","1"
"Couchbase","1"
"Couchbase, Inc.","1"
"CPS JOBS","1"
"CrossBoundary","1"
"Crossover","1"
"CurveTech.AI","1"
"Cyabra","1"
"Cybereason","1"
"Cybord","1"
"Cycode | Peace of Mind","1"
"Cynamics","1"
"Cynet","1"
"Cytactic","1"
"CytoReason","1"
"Data Directs LTD","1"
"Data Science Group","1"
"Data Science Research Center at the University of Haifa","1"
"DataGem - We Turn Your Data To Business Growth","1"
"DataPond","1"
"DeepKeep","1"
"Dell Technologies","1"
"Demostack","1"
"Detelix Software Technologies Ltd","1"
"Diffe.rent","1"
"DigitalOwl","1"
"DoControl","1"
"Dofinity","1"
"DoorLoop","1"
"Dot Compliance","1"
"Doubleverify","1"
"Droxi","1"
"e2f, inc.","1"
"easy","1"
"eBay","1"
"EDGE226","1"
"EdgeConneX","1"
"Elad Data (Formerly Excelando Ltd)","1"
"Elastic","1"
"Elbit Systems Israel","1"
"Elbit Systems Ltd","1"
"Elia Transportation Engineering LTD","1"
"Emendo Biotherapeutics","1"
"Emet Technologies","1"
"Energy Vision LTD","1"
"EntrÃ©e Capital","1"
"entrio","1"
"entrypoint","1"
"Excis Ltd","1"
"Executive Israel HR","1"
"Exorigos","1"
"EXPERDA -It's that simple","1"
"Experi","1"
"Experis Key Account","1"
"Extreme","1"
"EY","1"
"Eyeviation","1"
"Facebook","1"
"Faye","1"
"FC Sektzia Ness Tziona","1"
"Feelit Technologies","1"
"Fijaya LTD","1"
"Final","1"
"Finaro","1"
"Firefly","1"
"Flextronics","1"
"Forcepoint","1"
"Frontegg","1"
"Frontiers","1"
"Futora","1"
"Fyllo","1"
"GDAI","1"
"GeoEdge","1"
"Gertner Institute","1"
"GL Urban Systems Planning & Management","1"
"Glassbox","1"
"GM","1"
"Goldjobs ××‘×™× ×™× ×‘×× ×©×™×","1"
"Gong","1"
"Granulate (An Intel Company)","1"
"Guardio","1"
"HAAT Delivery","1"
"Haifa University","1"
"Harmonic","1"
"Hedonia","1"
"Hemmersbach","1"
"Herolens","1"
"Hibob","1"
"Hippo Insurance","1"
"HirEdge.ai","1"
"hitech","1"
"Hitechzone","1"
"Hito - People management","1"
"Honest Brand Reviews","1"
"HoneyBook","1"
"Hour One","1"
"HP","1"
"Hunterim","1"
"HUNTERit","1"
"Huuuge Games","1"
"I-Medata AI Center","1"
"IDE Technologies","1"
"Iguazio","1"
"Illumina","1"
"Ilyon","1"
"Imagry","1"
"Immunai","1"
"Imprint","1"
"Infinidat","1"
"Informed Decisions","1"
"Ingima","1"
"Initech Software Services LTD","1"
"Innocom","1"
"Innovesta","1"
"Innovesta Technologies Ltd.","1"
"Insert Technologies","1"
"Intel technologies","1"
"INTELLFORCE","1"
"Intercontinental Exchange - ICE","1"
"International Strategic Consultancy Firm","1"
"IONIX","1"
"iprosis","1"
"Israel Content Providers","1"
"Israel Content Providers (ICP)","1"
"Israel Tech Challenge <itc>","1"
"JobTestPrep","1"
"JPMC Candidate Experience page","1"
"Jubaan","1"
"K Logic","1"
"K4 Brands","1"
"Kaltura","1"
"Kape","1"
"Kape Technologies","1"
"KayHut","1"
"Kiloma Advanced Solutions","1"
"Kima Solutions Ltd.","1"
"King Engine Bearings","1"
"KinSame","1"
"Kobre & Kim","1"
"Kovrr","1"
"KPMG Israel","1"
"Kramer","1"
"Kroll Consulting","1"
"Laminar","1"
"Landa","1"
"LEAP","1"
"LetsTok.com","1"
"Limik","1"
"Liquidity Group","1"
"LiteBC","1"
"Localize","1"
"Loops","1"
"Ludeo","1"
"Lumenis","1"
"Lynn Bichler HR | ×œ×™×Ÿ ×‘×™×›×œ×¨","1"
"Lynx.MD","1"
"M Analytics","1"
"Maccabi Health care Services","1"
"Maicelium","1"
"MALAM","1"
"MalamTeam3","1"
"Manpower Israel","1"
"ManpowerGroup","1"
"MAOZ ××¢×•×–","1"
"Marketator","1"
"Martin & Conley","1"
"MatchPointIT","1"
"Matrix DnA","1"
"Mauser Packaging Solutions","1"
"mavensÂ°, a Zynga company (formerly Storemaven)","1"
"Maverick Medical AI","1"
"Maximal Learning","1"
"MayStreet","1"
"MDI Health","1"
"medical center","1"
"MedOne","1"
"MedOrion","1"
"Melio Payments","1"
"Meltwater Product & Engineering","1"
"Mercedes-Benz Research & Development Tel-Aviv","1"
"Merck","1"
"Mesh Payments","1"
"Metromile","1"
"Micro Focus","1"
"MICROSOFT ISRAEL","1"
"Midgam - Research & Consulting LTD","1"
"Migdal Insurance","1"
"Mindverse Consulting Services Private Limited","1"
"Mizrahi-Tefahot Bank","1"
"Mobile Group Ltd.","1"
"MonetizeMore","1"
"Monocle","1"
"Moonee","1"
"Moonshot Marketing LTD","1"
"Moovit","1"
"morning by Green Invoice","1"
"mPrest","1"
"MSD Animal Health Technology Labs","1"
"myElla (aka: Marktrix)","1"
"MyHeritage","1"
"N.P.R HR","1"
"N1X10","1"
"Nanox","1"
"Nanox AI","1"
"National Instruments","1"
"Navina","1"
"Nayax","1"
"Neema - Better Than a Bank","1"
"NestlÃ©","1"
"NetBet","1"
"Netivei Israel | × ×ª×™×‘×™ ×™×©×¨××œ","1"
"networx","1"
"Networx","1"
"NeuraLight","1"
"New Relic","1"
"Nexite","1"
"NEXT Insurance","1"
"Nexxen","1"
"NGsoft","1"
"NI","1"
"No company","1"
"Novilis Software Systems Ltd.","1"
"Novo Nordisk","1"
"nRich","1"
"Nuance","1"
"Nym","1"
"Octally Integration LTD","1"
"ODDITY- IL MAKIAGE","1"
"OGC Global","1"
"OKO","1"
"One BI","1"
"ONE Technologies","1"
"Onsemi","1"
"OpsGuru, a Carbon60 Company","1"
"Orna Shkalim ××•×¨× ×” ×©×§×œ×™×","1"
"outbrain","1"
"Own Company","1"
"Pagaya Israel","1"
"Palantir Technologies","1"
"Panacea-ml","1"
"Parallel Value Group","1"
"Parametrix","1"
"Paretix","1"
"Pavonyx","1"
"PayMe","1"
"Payset Limited","1"
"PayU","1"
"Pecan AI","1"
"Perrigo Company","1"
"Personetics Technologies","1"
"Pharma14.com","1"
"PickyStory","1"
"PiKoYa","1"
"Ping Identity","1"
"Placer","1"
"Pliops","1"
"Predicta Med","1"
"Prisma Photonics","1"
"Private Security & Strategic Services company","1"
"Private Security Company","1"
"Pro-Vision.io","1"
"Progeeks Group","1"
"Prologic Ltd.","1"
"PropelAuth","1"
"Prospera","1"
"Q.ai","1"
"QPoint Technologies","1"
"Quago Technologies","1"
"Qualcomm","1"
"QualiSense","1"
"QuantHealth","1"
"QUESTAR","1"
"Qwak","1"
"RAD","1"
"Radware","1"
"Raven Data","1"
"ReasonLabs","1"
"Redis","1"
"Rekor","1"
"Remix","1"
"riverside.fm","1"
"Roga Analytics","1"
"RYB Technologies","1"
"Salesforce","1"
"SAM Seamless Network","1"
"Samsung Research and Development Center Israel","1"
"SAS ISRAEL","1"
"SchoolStatus","1"
"Scooper","1"
"Sdema Group","1"
"Sedgwick","1"
"Sensi.AI","1"
"Serverfarm","1"
"ServiceNow, Inc.","1"
"SGTech - Zero Carbon, Sustainable Farming","1"
"Shamir Optical Industry Itd.","1"
"shavit-soft","1"
"Sheba Tel HaShomer City of Health","1"
"Sidelines Group","1"
"Sightfull","1"
"SightX AI","1"
"Sigma Software","1"
"Simply (formerly JoyTunes)","1"
"SixtyFive","1"
"Skillinn","1"
"Skybox Security","1"
"Software AG Israel","1"
"Solidus Labs","1"
"Sorbet","1"
"Spinframe Technologies","1"
"Spot by NetApp","1"
"SQream","1"
"StarkWare Industries","1"
"Startingup","1"
"Stealth Cyber Startup","1"
"Stealth Mode","1"
"Stealth Startup","1"
"StePacPPC","1"
"Sternum","1"
"StoreNext Technologies","1"
"Stratasys Direct Manufacturing","1"
"Strategic Staffing Solutions","1"
"Sunday Security","1"
"Supersonic from Unity","1"
"Supersonic Studios","1"
"Surprise.com","1"
"SVT.Jobs","1"
"SWC Consulting","1"
"Synapse","1"
"Syte.ai","1"
"Takeaway","1"
"Tap","1"
"Tarya Israel","1"
"tasq.ai","1"
"Tata Consultancy Services","1"
"TBO.COM","1"
"Technion","1"
"TechSee","1"
"TechTalent","1"
"Techtalent ×—×‘×¨×ª Headhunting ×•×”×©××”","1"
"Techtonic","1"
"Tellus Solutions","1"
"Telus International AI Data Solutions","1"
"Tempo Beverages Ltd","1"
"Tenable","1"
"TeraGen","1"
"TeraSky","1"
"Teridion","1"
"Teva GmbH","1"
"The Center for Educational Technology (CET)","1"
"The Data Science Institute at Bar-Ilan University","1"
"The Hill","1"
"Theator","1"
"There is no company name","1"
"Thetaray","1"
"ThetaRay","1"
"Thing or Two","1"
"THR - ×’×™×•×¡ ×•×”×©××ª ×¢×•×‘×“×™×","1"
"Tictuk","1"
"TinyTap","1"
"Tissue Dynamics","1"
"Toga Networks-a Huawei Company","1"
"Toluna","1"
"TOTSAOT  -  Human Resources","1"
"Trabo","1"
"Trax Retail","1"
"Tremor International Ltd.","1"
"Triple Whale ğŸ³","1"
"TRIPLECYBER","1"
"Truecaller","1"
"Trullion","1"
"Twingate","1"
"TWINGO","1"
"Tymely","1"
"UC Workspace","1"
"undefined","1"
"Unilever","1"
"Unit","1"
"United Nations Relief and Works Agency for Palestine Refugees in the Near East","1"
"Upstream Security","1"
"UserWay.org","1"
"Valerann","1"
"Vectorious Medical Technologies","1"
"Veego","1"
"Velotix","1"
"Verily Life Sciences","1"
"Verix","1"
"Viably","1"
"Viaccess-Orca","1"
"Viasat","1"
"Viasat Inc.","1"
"VIDAA","1"
"Vidazoo","1"
"Videocites","1"
"VieRally","1"
"Vim","1"
"Vimeo","1"
"Viridian Analytics","1"
"VLSI","1"
"VOOM Insurance","1"
"Vulcan Cyber","1"
"Walmart Global Tech","1"
"Watchful Technologies","1"
"Webtronic.io","1"
